<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-notion">notion</span></div><br><div class="mot">Work Places</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-notion">notion</span></div><br><div class="mot">Les lieux de travail</div>;ANGLAIS::niveau::A2 ANGLAIS::type::notion ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a factory</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une usine</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a shop</div><br><div class="exemple">-- Exemple --<br><br>Dans le contexte industriel (et non un magasin)</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un atelier</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a sweatshop</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un atelier de misère / clandestin</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈswetʃɒp]</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a company, a firm</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une entreprise</div><br><div class="note">-- Note --<br><br>Prononciation : [fɜːm] pour "firm"</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the headquarters / a branch</div><br><div class="exemple">-- Exemple --<br><br>"Headquarters" s'emploie souvent au pluriel</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le siège / une succursale</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a shop</div><br><div class="exemple">-- Exemple --<br><br>Dans le contexte du commerce</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un magasin, une boutique</div>;ANGLAIS::niveau::A1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">an office</div><br><div class="exemple">-- Exemple --<br><br>Le lieu / la pièce de travail</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un bureau</div>;ANGLAIS::niveau::A1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the premises</div><br><div class="exemple">-- Exemple --<br><br>Toujours au pluriel</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les locaux</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-notion">notion</span></div><br><div class="mot">Working Hours</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-notion">notion</span></div><br><div class="mot">Le temps de travail</div>;ANGLAIS::niveau::B1 ANGLAIS::type::notion ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a working day</div>;<div class="theme">Thème : Work > Working-conditions > Work-Places-and-working-hours</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un jour ouvrable / de travail</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Work-Places-and-working-hours
