<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-notion">notion</span></div><br><div class="mot">Probation and Training</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-notion">notion</span></div><br><div class="mot">Période d’essai et formation</div>;ANGLAIS::niveau::B2 ANGLAIS::type::notion ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a probationary period</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une période d’essai</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">vocational training</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">la formation professionnelle</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a training period/session/an internship</div><br><div class="exemple">-- Exemple --<br><br>"Internship" désigne souvent un stage étudiant ou d'insertion</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un stage (de formation)</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a training programme</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un programme de formation</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a trainee, an intern (US)</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un stagiaire</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">continuing education</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">la formation continue</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to train</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">(se) former</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to retrain</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">(se) recycler / se reconvertir</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">to take sb on probation</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">prendre quelqu’un à l’essai</div><br><div class="note">-- Note --<br><br>take, took, taken</div>;ANGLAIS::niveau::C1 ANGLAIS::type::irr-verb ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">to take sb for a trial period</div>;<div class="theme">Thème : Work > The-job-market > Employment > Probation-and-Training-Promotion</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">prendre quelqu’un à l’essai</div><br><div class="note">-- Note --<br><br>take, took, taken</div>;ANGLAIS::niveau::B2 ANGLAIS::type::irr-verb ANGLAIS::Work::The-job-market::Employment::Probation-and-Training-Promotion
